Monat Bedeckungsgrad Lufttemperatur Windstaerke Sonnenscheindauer Niederschlagshoehe
1904-04-15 6.36 -5.41 4.42 110.2 116.1
1904-05-15 5.67 -1.93 3.31 153.1 143
1904-06-15 5.95 1.23 3.03 123.1 126.1
1904-07-15 5.55 3.74 2.84 159.2 142.7
1904-08-15 6.04 2.31 3.16 152.4 166
1904-09-15 5.78 -2.29 2.75 96.1 156.7
1904-10-15 5.01 -3.55 3.22 121.4 73.9
1904-11-15 4.8 -9.09 2.97 105.2 47.8
1904-12-15 3.97 -8.61 3.17 100.2 47.6
1905-01-15 4.9 -14.01 3.92 102.2 45.1
1905-02-15 5.03 -12.96 3.53 96.6 56.3
1905-03-15 6.05 -9.41 3.39 94.9 64.4
1905-04-15 5.89 -8.24 3.33 106.2 54.3
1905-05-15 5.46 -3.14 2.43 145.4 87.6
1905-06-15 6.12 0.82 2.1 130.5 103.6
1905-07-15 5.38 4.25 2.53 154.9 121.9
1905-08-15 5.66 2.35 2.71 152.3 206.6
1905-09-15 5.84 0.99 2.66 130.8 97.6
1905-10-15 6.25 -9.74 2.6 75.9 131.4
1905-11-15 5.95 -8.9 3.8 60.8 104.3
1905-12-15 4.01 -8.28 4.13 114.2 41.1
1906-01-15 5.45 -11.51 4.65 81.7 38
1906-02-15 5.94 -12.01 3.76 78.3 84.5
1906-03-15 5.5 -10.35 4.53 120 77.2
1906-04-15 5.29 -6.92 3.29 134.6 108.7
1906-05-15 6.28 -2.29 3.31 96.3 91.3
1906-06-15 6.64 -0.93 2.92 87.1 134.1
1906-07-15 5.68 2.71 2.78 123.7 246.2
1906-08-15 5.25 2.45 2.75 175.8 176.7
1906-09-15 5.27 -1.8 4.02 125.5 169.7
1906-10-15 4.21 -1.01 3.61 203.6 40.3
1906-11-15 4.79 -5.57 5.02 131.2 68.4
1906-12-15 5.85 -15.1 4.9 55.7 220.7
1907-01-15 5.45 -12.97 5.46 84.7 140.4
1907-02-15 4.98 -13.76 4.66 119.9 32.4
1907-03-15 5.18 -12.94 5.32 147.6 150
1907-04-15 6.29 -9.27 3.69 98 146.6
1907-05-15 5.44 -1.53 3.91 206.7 116.9
1907-06-15 6.46 0.34 3.48 135.6 155.9
1907-07-15 6.61 -0.19 3.82 96.1 163.6
1907-08-15 5.52 2.34 3.82 172.4 116.9
1907-09-15 3.26 1.43 1.74 200.7 72.1
1907-10-15 4.31 -1.24 2.42 111.9 24.7
1907-11-15 3.74 -5.89 2.45 120.9 92.6
1907-12-15 5.82 -9.06 4.87 43.8 112.3
1908-01-15 3.28 -9.18 3.7 167.1 25.8
1908-02-15 6.5 -13.29 5.62 56.8 112
1908-03-15 5.68 -12.23 4.12 120.7 57.7
1908-04-15 6.79 -9.87 3.92 78.3 166.8
1908-05-15 6.08 -0.59 4.86 148.1 122.8
1908-06-15 5.72 2 2.95 191.4 106.9
1908-07-15 5.97 1.56 3.28 156.5 171.3
1908-08-15 6.14 0.45 3.64 121.5 196.7
1908-09-15 5.31 -1.16 2.76 156.1 128.9
1908-10-15 2.74 -1.36 2.64 246.7 18.2
1908-11-15 4.48 -7.74 3.53 125.7 40
1908-12-15 4.22 -9.85 3.08 139.9 31.7
1909-01-15 3.79 -11.85 3.74 162.3 33.2
1909-02-15 5.38 -16.37 4.15 98 41.7
1909-03-15 5.92 -12.07 3.45 122.4 85.4
1909-04-15 5.42 -6.2 3.51 175.5 65.2
1909-05-15 5.89 -3.64 2.14 162.3 113.7
1909-06-15 6.75 -1.06 2.29 98.4 139.9
1909-07-15 6.14 0.19 2.95 146.2 149.8
1909-08-15 5.57 2.02 2.28 186.2 204.1
1909-09-15 4.92 -1.18 2.19 148.1 90.8
1909-10-15 4.55 -2.58 3.03 172.5 123.7
1909-11-15 4.32 -10.05 3.64 142.1 74.3
1909-12-15 5.62 -9.53 3.97 90.6 128.8
1910-01-15 5.88 -12.46 4.16 75 244.7
1910-02-15 6.03 -11.31 3.5 97.9 167.8
1910-03-15 5.21 -9.74 2.62 169.6 69.9
1910-04-15 6.27 -8.3 2.62 120.4 164.1
1910-05-15 6.2 -3.06 2.2 141.4 143.9
1910-06-15 6.5 0.1 3.04 146 326.4
1910-07-15 6.55 -0.28 2.92 130.4 345.8
1910-08-15 6.51 0.77 2.69 130.7 336.4
1910-09-15 5.26 -1.85 2.87 137.6 188.6
1910-10-15 3.67 -2 3.44 147.5 53.7
1910-11-15 6.23 -10.98 5.45 49.8 111.1
1910-12-15 5.04 -8.69 4.45 90.3 85.9
1911-01-15 2.51 -11.5 3.1 179.8 20
1911-02-15 5.03 -12.92 4.88 118.4 58.4
1911-03-15 5.2 -10.44 3.39 126 77.9
1911-04-15 4.34 -8.18 2.68 194.8 72.1
1911-05-15 6.5 -2.82 3.7 131.7 204.9
1911-06-15 6.28 -0.63 3.74 141 173.9
1911-07-15 4.51 3.76 2.99 228.8 68.5
1911-08-15 4.43 3.55 3.23 199.7 46.7
1911-09-15 4.62 1.28 3.43 153.7 75.6
1911-10-15 4.15 -2.1 4.25 192.4 52.5
1911-11-15 4.53 -5.74 4.14 126.1 31.4
1911-12-15 5.15 -8.95 4.55 79.7 29.8
1912-01-15 5.38 -9.83 3.71 75.5 60.5
1912-02-15 5.41 -8.88 4.32 84.9 62.8
1912-03-15 5.44 -8.7 4.02 107.7 91
1912-04-15 6.18 -8.14 3.56 104.3 87.8
1912-05-15 5.9 -2.67 3.53 129.6 178.2
1912-06-15 5.58 0.28 3.08 145.6 173.4
1912-07-15 5.03 1.82 2.42 175.7 140.2
1912-08-15 6.25 -0.85 3.3 103.7 238.3
1912-09-15 6.3 -5.73 2.62 72.4 186.5
1912-10-15 5.12 -4.58 3.78 124.7 112.2
1912-11-15 5.18 -11.06 4.67 67.1 80.3
1912-12-15 4.43 -7.19 4.29 116.2 74.1
1913-01-15 5.01 -10.25 4.44 90.9 75.8
1913-02-15 3.38 -11.46 3.72 169 27.3
1913-03-15 5.07 -7.15 4.75 154.1 48.9
1913-04-15 6.35 -7.67 3.63 124.9 76.3
1913-05-15 5.88 -3.2 3.58 162.1 113.3
1913-06-15 6.2 -0.4 4.07 134.4 200.8
1913-07-15 7.04 -1.46 3.68 75 232.1
1913-08-15 5.79 0.18 3.93 166.4 188.4
1913-09-15 5.04 -0.67 3.73 161.1 107.6
1913-10-15 4.24 -0.56 5.24 167.4 59.3
1913-11-15 5.77 -5.62 5.62 71.7 112.3
1913-12-15 5.59 -11.46 5.76 88.8 82.4
1914-01-15 3.82 -11.72 4.24 147.2 34
1914-02-15 3.77 -6.07 3.98 149.4 14.9
1914-03-15 5.98 -10.13 5.7 96.6 73
1914-04-15 4.38 -4.98 4.03 203.5 64.6
1914-05-15 6.52 -3.81 4.04 127.9 122.6
1914-06-15 6.43 -1.34 3.67 98.2 168.4
1914-07-15 6.2 0.59 3.77 129.3 244.3
1914-08-15 4.24 2.82 2.61 223.7 137.4
1914-09-15 4.94 -1.74 4.49 164.7 118.9
1914-10-15 5.03 -4.51 4.65 131.5 63
1914-11-15 4.72 -7.89 4.44 125.9 91.4
1914-12-15 4.89 -8.89 5.72 96.4 53.3
1915-01-15 6.23 -14.21 5.93 63.8 49.6
1915-02-15 5.15 -12.16 4.76 109.8 88.4
1915-03-15 5.83 -11.2 5.07 118.5 67.2
1915-04-15 5.43 -7.07 3.24 169.5 96
1915-05-15 5.68 -0.04 3.27 157.2 89.6
1915-06-15 5.89 2.04 2.75 158.2 165.9
1915-07-15 6.13 1.11 3.35 165.5 265.5
1915-08-15 6.48 -0.12 3.39 134.2 199.1
1915-09-15 4.58 -1.93 3.9 193.5 102.3
1915-10-15 5.25 -6.09 2.44 169.6 78.6
1915-11-15 5.53 -10.16 5.09 99.6 67.8
1915-12-15 6.56 -6.57 6.04 51.9 76.8
1916-01-15 5.24 -9.02 5.62 115.3 68.3
1916-02-15 5.81 -11.18 5.82 113.8 51.9
1916-03-15 6.22 -7.22 4.58 112.6 50
1916-04-15 5.42 -5.49 4.26 175.3 75.4
1916-05-15 6.03 -1.65 3.58 175.7 102.7
1916-06-15 6.79 -1.23 4.29 122.5 183.1
1916-07-15 6.43 1.03 4.45 148.7 237.3
1916-08-15 5.74 1.04 4.14 171.8 156.6
1916-09-15 5.55 -1.75 3.67 142.7 288
1916-10-15 5.24 -3.73 4.82 162.5 108.1
1916-11-15 5.24 -6.19 4.75 130.2 112.7
1916-12-15 6.1 -9.11 6.52 81.6 42
1917-01-15 5.42 -12.61 4.62 98.8 51.6
1917-02-15 3.64 -11.54 3.68 179.9 18.7
1917-03-15 6.33 -11.68 5.05 148.1 63.1
1917-04-15 6.74 -10.68 4.98 123.5 105.6
1917-05-15 5.67 0.4 3.04 213.4 56.5
1917-06-15 5.83 2.41 2.77 193.3 134.9
1917-07-15 5.83 2.09 3.31 162.3 210.8
1917-08-15 5.94 2.01 3.93 159.2 185.2
1917-09-15 4.08 2.13 3.84 232 91.7
1917-10-15 5.67 -5.79 5.51 141.6 130
1917-11-15 4.69 -8.05 4.29 144.4 65.8
1917-12-15 4.71 -12.64 4.68 132.4 24.1
1918-01-15 4.42 -9.15 5.55 151.1 17
1918-02-15 4.04 -9.97 3.85 161.8 48.6
1918-03-15 5.43 -9.51 3.4 157.4 46.3
1918-04-15 6.31 -5.06 3.33 130.9 42.6
1918-05-15 5.99 -2.18 2.97 158.4 115.3
1918-06-15 6.88 -2.8 4.18 98.1 286.8
1918-07-15 6.09 1.31 4.09 157.4 188.7
1918-08-15 6.17 0.84 3.95 143.5 188
1918-09-15 5.53 1.05 5.27 165.1 100.7
1918-10-15 5.36 -5.2 3.42 127.9 116.2
1918-11-15 4.05 -7.8 3.48 155.4 41.8
1918-12-15 6.26 -8.48 5.02 68.5 157.1
1919-01-15 4.95 -10.58 3.76 138.2 80.4
1919-02-15 5.24 -11.95 4.18 106.6 52.2
1919-03-15 6.22 -10.55 4.55 120.6 67.7
1919-04-15 6.63 -9.64 3.8 117.4 138.6
1919-05-15 5.91 -5.44 2.61 165.4 97.6
1919-06-15 6.31 -0.38 3.59 128.5 132
1919-07-15 7.12 -1.15 3.38 110 207.8
1919-08-15 6.21 2.37 3.23 182.3 107.6
1919-09-15 4.53 1.92 2.84 212.1 46.6
1919-10-15 5.46 -7.74 3.3 148.1 97.5
1919-11-15 6.12 -10.34 5.32 94.5 85.3
1919-12-15 5.87 -10.57 4.91 71.3 85.5
1920-01-15 6 -9.09 5.17 91.4 65.2
1920-02-15 3.61 -7.6 4.24 192.8 15.7
1920-03-15 4.86 -6.46 4.33 183.5 56.2
1920-04-15 6.14 -5.13 4.64 118.7 118
1920-05-15 6.4 0.36 4.14 167.1 106
1920-06-15 6.9 -0.54 3.59 92.3 180.1
1920-07-15 5.84 2.84 3.53 185.4 228.1
1920-08-15 6.67 0.61 2.8 132 154.4
1920-09-15 6.16 -0.19 3.86 118.7 190.1
1920-10-15 3.56 -1.18 2.1 238.8 15.8
1920-11-15 3.51 -4.1 3.19 179 4.9
1920-12-15 5.45 -8.45 3.47 103.4 45.4
1921-01-15 5.67 -8.86 4.36 87.8 108
1921-02-15 3.5 -10.51 2.29 181.7 22.9
1921-03-15 3.86 -7.66 2.65 216.1 48.8
1921-04-15 6.14 -7.89 1.83 107.2 188.1
1921-05-15 5.86 -0.23 1.79 176 107.7
1921-06-15 6.5 -0.75 2.36 100.9 209.1
1921-07-15 5.59 3.89 1.97 187.1 74.4
1921-08-15 5.34 2.95 2.62 182.6 95
1921-09-15 4.44 1.87 2.37 210.2 76.8
1921-10-15 3.79 -0.27 2.41 219.7 67.6
1921-11-15 3.23 -7.99 3.02 185.7 56.3
1921-12-15 4.83 -9.74 3.97 108.8 64.9
1922-01-15 5.46 -12.31 3.69 101.3 49.8
1922-02-15 4.3 -10.3 3.84 134.4 32.2
1922-03-15 5.44 -8.44 3.99 128.6 49.2
1922-04-15 6.77 -8.23 3.9 112.8 88.1
1922-05-15 5.08 -1.45 3.33 203.4 86.9
1922-06-15 6.75 0.54 2.63 95.4 239.4
1922-07-15 5.4 1.19 3.8 207.4 155
1922-08-15 4.86 2.64 3.85 233.9 120.8
1922-09-15 6.48 -2.13 3.87 100.3 269.7
1922-10-15 5.67 -4.53 4.39 99 99
1922-11-15 5.01 -10.42 5.29 133.2 68.1
1922-12-15 5.82 -10.54 4.8 78.7 46.2
1923-01-15 5.95 -12.6 3.22 73.4 101.8
1923-02-15 6.29 -10.7 3.88 88.9 59.7
1923-03-15 4.64 -8.57 2.68 175.2 50.5
1923-04-15 5.77 -6.77 3.68 143.4 90.8
1923-05-15 5.4 -2.38 3.72 224.5 58.8
1923-06-15 7.18 -3.54 3.19 92.1 202.1
1923-07-15 5.3 3.64 3.15 224.9 176.3
1923-08-15 4.68 3.01 3.61 240.4 105.8
1923-09-15 5.63 -0.93 3.23 136.3 73.8
1923-10-15 5.26 -1.84 5.18 137.4 119.4
1923-11-15 5.89 -7.32 4.73 118.2 59.2
1923-12-15 6.02 -12.69 4.95 72.9 82.4
1924-01-15 4.81 -12.01 3.96 134.7 34.3
1924-02-15 5.04 -13.89 3.28 144.9 37.2
1924-03-15 4.54 -10.06 3.32 187.7 23
1924-04-15 6.58 -7.4 4.33 115.4 91.7
1924-05-15 5.89 -1.04 3.65 181 87
1924-06-15 6.42 0.22 3.51 137.6 205.4
1924-07-15 6.2 2.05 4.01 144.7 187.3
1924-08-15 6.42 -0.49 3.11 138.9 208.8
1924-09-15 5.2 0.34 2.83 169.8 113.2
1924-10-15 4.05 -2.46 2.4 185.7 59.8
1924-11-15 3.21 -5.35 2.56 181 34.9
1924-12-15 3.1 -6.57 2.55 158.7 69.5
1925-01-15 3.52 -7.93 2.62 140.7 45.7
1925-02-15 5.15 -11.06 3.33 112 90.5
1925-03-15 5.93 -13.18 3.02 117.9 98
1925-04-15 6.4 -6.7 2.96 101.6 114.9
1925-05-15 5.77 -1.99 2.71 163.8 102.4
1925-06-15 5.93 -0.28 3.14 165.1 154.9
1925-07-15 6.39 1.97 2.65 133 145.5
1925-08-15 5.72 1.54 3.72 142.2 247.1
1925-09-15 5.52 -2.91 3.56 117.3 176.4
1925-10-15 3.17 -2.52 3.53 217.5 97.5
1925-11-15 4.69 -7.68 3.22 116.4 67.1
1925-12-15 5.81 -12.25 4.87 58 72.2
1926-01-15 5.65 -12.18 3.75 69.9 61.9
1926-02-15 5.47 -7.59 3.67 98.2 57.9
1926-03-15 5.85 -9.5 4.03 102.2 69
1926-04-15 4.6 -5.55 2.99 179.1 97.1
1926-05-15 6.49 -4.16 3.41 103.1 204.2
1926-06-15 6.96 -2.31 3.27 80.4 350.6
1926-07-15 6.85 1.35 3.38 95.1 364
1926-08-15 4.92 1.91 2.56 198.2 100.3
1926-09-15 5.05 1.46 2.47 167.2 88.6
1926-10-15 5.34 -3.12 4.85 152.8 77.5
1926-11-15 4.82 -4.57 5.18 128.5 34
1926-12-15 5.48 -11.17 4.48 81.8 91.3
1927-01-15 5.59 -10.64 3.95 81.4 65.7
1927-02-15 4.26 -11.35 3.94 143.2 51
1927-03-15 4.92 -8.57 3.57 147.5 65
1927-04-15 6.95 -6.79 4.3 106.1 144.9
1927-05-15 6.02 -2.37 3.31 180.2 147.9
1927-06-15 5.92 0.85 3.51 193.7 156
1927-07-15 5.93 2.34 3.05 137.2 189.7
1927-08-15 5.14 2.31 3.33 189 157.9
1927-09-15 5.76 0.06 3.9 130.1 227.1
1927-10-15 2.97 -2.37 3.62 218.1 39.3
1927-11-15 4.62 -5.73 3.96 114.4 71.1
1927-12-15 4.42 -9.75 3.66 118.8 41.3
1928-01-15 4.65 -10.41 4.25 112.5 74.3
1928-02-15 4.52 -10.79 5.33 141.8 94.6
1928-03-15 4.58 -8.47 3.43 153.7 51.6
1928-04-15 5.5 -5.66 4.35 167.5 132.2
1928-05-15 6.21 -5.07 3.27 133.8 172.1
1928-06-15 5.52 0.22 4.1 180.3 167
1928-07-15 4.71 5.02 2.8 243.3 83.1
1928-08-15 5.87 3.4 4.13 181.7 197.9
1928-09-15 5.17 0.06 2.78 156.7 119.9
1928-10-15 4.89 -3.6 4.18 168.3 67.3
1928-11-15 5.61 -7.55 4.5 83.8 85.3
1928-12-15 4.72 -11.09 3.73 120 64.4
1929-01-15 4 -14.37 3.72 142.9 49.7
1929-02-15 3.1 -14.97 3.7 186.8 37.4
1929-03-15 3.45 -9.11 3.43 229.2 25.9
1929-04-15 6 -9.87 4.3 144.5 97.2
1929-05-15 5.54 -1.88 2.94 180.1 131.1
1929-06-15 5.99 0.59 3.6 158.5 220.5
1929-07-15 5.02 2.88 3.08 222.9 130.6
1929-08-15 5.11 3.37 2.24 200.2 205
1929-09-15 4.22 2.07 3.4 194.5 55.6
1929-10-15 5.57 -3.28 4.96 158 179.1
1929-11-15 5.28 -6.37 4.59 131.8 142
1929-12-15 5.71 -9.6 5.77 90.2 313.2
1930-01-15 3.75 -7.15 4.88 199.2 90.8
1930-02-15 3.59 -11.32 3.95 208.3 24.7
1930-03-15 5.6 -8.37 4.31 153.1 161
1930-04-15 6.54 -6.12 4.1 137.4 202.3
1930-05-15 6.71 -3.63 4.11 155 347.5
1930-06-15 6.06 3.32 2.89 235.2 111.6
1930-07-15 6.78 1.23 3.97 175.6 233.8
1930-08-15 5.15 2.13 4.09 217 329.8
1930-09-15 5.68 -0.16 3.75 120.3 140.5
1930-10-15 5.25 -3.71 4.41 129.1 162.4
1930-11-15 5.18 -6.69 5.62 121.5 88.5
1930-12-15 3.93 -9.74 3.98 154.5 69.9
1931-01-15 4.77 -12.61 4.88 123.6 68.7
1931-02-15 5.27 -13.66 4.06 119.2 90.4
1931-03-15 4.29 -10.72 4.3 213.8 62.9
1931-04-15 5.89 -8.11 3.77 158 122.3
1931-05-15 5.58 -0.62 3.5 227.9 61.7
1931-06-15 5.68 2.66 3.54 219.6 179.4
1931-07-15 5.93 1.85 3.63 220.6 254.2
1931-08-15 6.47 0.82 3.92 150.9 269.8
1931-09-15 6.26 -4.94 3.93 138.5 213.3
1931-10-15 4.36 -4.32 4.63 219.5 61.9
1931-11-15 4.93 -5.03 4.24 132.2 49.5
1931-12-15 4.47 -11.08 4.58 137.9 76.8
1932-01-15 3.34 -6.95 4.44 182.1 50
1932-02-15 3.09 -14.59 3.8 213.6 33.6
1932-03-15 4.77 -11.62 3.88 172.2 63.6
1932-04-15 5.97 -8.63 4.15 171.9 137.2
1932-05-15 6.21 -2.83 3.95 176.6 146.9
1932-06-15 6.04 -0.59 3.24 190.6 122.5
1932-07-15 6.51 2.7 3.12 174.5 304.4
1932-08-15 5.08 4.67 3.39 253.4 134
1932-09-15 5.18 3.45 4.05 198.6 89.4
1932-10-15 6.32 -4.59 4.74 122.3 259.2
1932-11-15 4.56 -5.55 4.2 172.6 103.3
1932-12-15 4.42 -6.52 3.61 191.8 11
1933-01-15 4.79 -12.54 3.53 152.4 115.5
1933-02-15 5.71 -13.19 3.79 136.1 176.4
1933-03-15 4.67 -8.41 3.74 233.9 104
1933-04-15 6.68 -7.73 3.91 133 238
1933-05-15 7.03 -4.72 3.69 93.6 459.2
1933-06-15 6.83 -2.18 3.54 124.6 320.4
1933-07-15 6.15 2.75 3.19 198.5 249.8
1933-08-15 5.37 2.58 3.57 235.8 183.3
1933-09-15 5.24 0.28 3.97 179.2 104.9
1933-10-15 4.79 -3.79 3.84 195.5 194.6
1933-11-15 5.69 -8.9 4.22 96.7 140.1
1933-12-15 4.12 -11.62 3.77 147.5 61
1934-01-15 4.9 -11.15 3.96 129 195.4
1934-02-15 3.3 -10.53 4.45 203.4 34.6
1934-03-15 5.59 -9.15 4.25 158.7 108.8
1934-04-15 4.98 -4.46 3.63 221.6 45.2
1934-05-15 5.95 -1.08 3.36 186.3 72.3
1934-06-15 6.24 -0.28 2.78 158.1 236.7
1934-07-15 5.35 2.66 3.37 224.7 223.2
1934-08-15 6.34 1.45 3.08 140.9 336.7
1934-09-15 4.55 1.5 2.81 206.4 189.9
1934-10-15 4.63 -3.67 3.6 198.6 189.6
1934-11-15 3.92 -6.88 3.71 176.5 39.7
1934-12-15 5.99 -7.2 3.41 85 186.5
1935-01-15 5.25 -14.66 3.35 126.1 193.3
1935-02-15 6 -12.04 5.51 105.6 324.1
1935-03-15 4.71 -11.44 3.83 196 184.5
1935-04-15 6.86 -8.53 4.92 109.1 358.7
1935-05-15 5.42 -4.21 3.57 214.5 113.5
1935-06-15 4.88 2.81 3.83 276.5 150.8
1935-07-15 5.27 2.59 2.83 239.2 165.1
1935-08-15 5.7 1.81 2.55 186.6 128.5
1935-09-15 4.67 0.61 4.05 204.1 166.7
1935-10-15 6.01 -3.1 4.61 131 193.9
1935-11-15 5.08 -6.75 4.3 143.1 85.5
1935-12-15 5.23 -11.84 4.73 111.2 123.7
1936-01-15 6.29 -9.1 5.25 67.5 276.8
1936-02-15 5.27 -12 3.85 147.3 159.1
1936-03-15 4.76 -8.06 3.48 211.5 51.6
1936-04-15 6.32 -6.87 3.97 142.8 207.2
1936-05-15 5.85 -1.91 2.43 160.2 146.7
1936-06-15 6.64 -0.01 3.19 117.5 355.5
1936-07-15 6.24 2.47 3.59 165.3 298.3
1936-08-15 4.74 1.87 3.25 221.9 154.4
1936-09-15 5.9 -0.4 3.81 135.6 257.6
1936-10-15 5.23 -8.09 4.2 155.3 284.3
1936-11-15 4.25 -6.63 4.1 153.7 99.8
1936-12-15 3.86 -8.58 4.35 159.7 128.7
1937-01-15 4.75 -9.65 4.62 134.8 228.5
1937-02-15 6.74 -11.31 5.27 66.2 372.7
1937-03-15 5.95 -10.37 5.36 140.9 168.7
1937-04-15 6.85 -7.51 3.88 90.3 317.8
1937-05-15 5.6 -0.52 3.36 212.5 103.2
1937-06-15 5.75 1.62 3.37 197.6 173.5
1937-07-15 6.31 2.42 3.62 167.5 134.6
1937-08-15 6.58 1.56 3.03 121.6 407.5
1937-09-15 5.72 -0.62 3.83 157.8 228.1
1937-10-15 5.22 -2.25 4.26 179.2 144.3
1937-11-15 5.57 -8.54 3.84 128.6 157.4
1937-12-15 5.86 -12.83 3.81 115.4 170.3
1938-01-15 6.59 -12.55 4.45 80.6 363.3
1938-02-15 3.47 -10.83 3.88 192.1 134.6
1938-03-15 3.94 -7.55 4.01 217.1 125.2
1938-04-15 6.04 -11.69 3.82 119.8 184.4
1938-05-15 5.75 -3.83 3.92 186.3 199
1938-06-15 5.34 2.23 3.87 230.3 110.8
1938-07-15 6.24 2.3 3.31 177.2 166.6
1938-08-15 6.5 2.03 3.11 142.6 316.4
1938-09-15 5.21 0.53 3.38 182.7 93.9
1938-10-15 4.39 -2.31 4.05 207.3 82.6
1938-11-15 4.14 -3.82 4.32 175.6 83.9
1938-12-15 5.96 -10.74 4.62 105.6 110.6
1939-01-15 5.75 -9.79 5.81 111.1 134.5
1939-02-15 4.19 -8.44 4.46 183.4 88
1939-03-15 6.73 -14.08 4.6 106.9 348.4
1939-04-15 5.41 -4.42 4.66 205.3 79.7
1939-05-15 7.19 -4.6 3.5 95.2 300.2
1939-06-15 5.87 1.34 3.45 202.9 153.4
1939-07-15 5.87 2.08 4.35 204.9 171.4
1939-08-15 6.08 2.64 3.16 154.4 64.7
1939-09-15 5.16 -0.67 3.1 153 181.3
1939-10-15 6.37 -5.39 4.22 72.5 219.5
1939-11-15 5.33 -5.28 4.43 122.8 284.5
1939-12-15 4.63 -12 3.24 150.6 137.7
1940-01-15 4.54 -12.98 3.45 130.9 108.2
1940-02-15 6.07 -11.14 4.49 93.5 81.1
1940-03-15 6.24 -11.1 4.52 117.2 168.2
1940-04-15 5.83 -7.04 2.81 158.5 124.9
1940-05-15 6.71 -3.65 1.66 107.6 257.7
1940-06-15 6.69 -0.2 1.6 113.1 78.1
1940-07-15 6.64 0.84 2.85 136.1 148.1
1940-08-15 6.05 0.35 2.51 167.9 90.9
1940-09-15 5.39 -0.21 3.45 155.7 113.8
1940-10-15 5.21 -2.47 3.23 163.4 40.5
1940-11-15 5.27 -7.28 4.54 102.3 89.9
1940-12-15 4.17 -14.48 4.51 133.9 148.9
1941-01-15 5.37 -11.96 4.15 92.1 44.5
1941-02-15 5.61 -11.61 4.91 111.5 67.8
1941-03-15 4.43 -9.24 4.51 184.8 62.8
1941-04-15 6.15 -8.09 3.37 118.6 64.1
1941-05-15 6.21 -5.67 2.95 154.6 129.7
1941-06-15 5.89 0.59 2.41 164.3 89.5
1941-07-15 6.43 2.79 2.64 165.2 144.6
1941-08-15 6.31 0.85 3.46 147.1 196.8
1941-09-15 4.25 -0.52 2.53 217.1 64.3
1941-10-15 6.06 -5.71 3.42 113.9 198.6
1941-11-15 4.81 -7.33 3.16 149.8 101.9
1941-12-15 5.3 -11.74 4.16 108.7 145.7
1942-01-15 6.02 -16.58 3.57 86.4 99.5
1942-02-15 5.19 -13.48 2.96 135.6 63.3
1942-03-15 5.6 -6.47 3.19 164.4 50.2
1942-04-15 6.01 -7.03 3.61 149.7 81.3
1942-05-15 6.1 -2.97 3.67 158.1 91.7
1942-06-15 5.19 0.98 3.31 230.7 91.9
1942-07-15 6.02 1.87 4 167.1 134.3
1942-08-15 5.11 3.07 2.3 192.1 129.4
1942-09-15 4.57 2.61 3.44 205.3 108.9
1942-10-15 4.78 -1.04 3.8 181.3 52.2
1942-11-15 4.66 -9.43 2.86 135.6 90.8
